# BEGIN PLOT
Legend=1
LogY=1
Title=$\geq$6-jet fraction ($E_\mathrm{CMS}=91.2$ GeV)
XLabel=$\ln(y_\mathrm{cut})$
YLabel=$\sigma(\geq\mathrm{6~jet})/\sigma(\mathrm{inclusive})$
LegendXPos=0.05
LegendYPos=0.6
DrawOnly=/ALEPH_2004_S5765862/d227-x01-y01 //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d227-x01-y01
LegendOnly=/ALEPH_2004_S5765862/d227-x01-y01 //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d227-x01-y01
RatioPlot=1
RatioPlotReference=/ALEPH_2004_S5765862/d227-x01-y01
# END PLOT

# BEGIN HISTO1D /ALEPH_2004_S5765862/d227-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_2004_S5765862/d227-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
-1.000000e+01	-9.800000e+00	9.920500e-01	2.417292e-03	2.417292e-03
-9.800000e+00	-9.600000e+00	9.851700e-01	2.619332e-03	2.619332e-03
-9.600000e+00	-9.400000e+00	9.727200e-01	2.908161e-03	2.908161e-03
-9.400000e+00	-9.200000e+00	9.514000e-01	3.064213e-03	3.064213e-03
-9.200000e+00	-9.000000e+00	9.188700e-01	3.636729e-03	3.636729e-03
-9.000000e+00	-8.800000e+00	8.718600e-01	5.257395e-03	5.257395e-03
-8.800000e+00	-8.600000e+00	8.101500e-01	7.154558e-03	7.154558e-03
-8.600000e+00	-8.400000e+00	7.339200e-01	1.005340e-02	1.005340e-02
-8.400000e+00	-8.200000e+00	6.471600e-01	1.246697e-02	1.246697e-02
-8.200000e+00	-8.000000e+00	5.542200e-01	1.341656e-02	1.341656e-02
-8.000000e+00	-7.800000e+00	4.603800e-01	1.319365e-02	1.319365e-02
-7.800000e+00	-7.600000e+00	3.694200e-01	1.257113e-02	1.257113e-02
-7.600000e+00	-7.400000e+00	2.854000e-01	1.205913e-02	1.205913e-02
-7.400000e+00	-7.200000e+00	2.121300e-01	1.097067e-02	1.097067e-02
-7.200000e+00	-7.000000e+00	1.518000e-01	9.308689e-03	9.308689e-03
